step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate
1,1.1900442838668823,0.7333333492279053,,2.538266389266304,0.4782608695652174,,,,
2,1.5050559043884277,0.6551724076271057,,2.4166159794248383,0.5862068965517241,,,,
3,1.8845572471618652,0.7272727489471436,,2.674160957336426,0.4444444444444444,,,,
4,1.8637276887893677,0.5862069129943848,,2.177070444280451,0.6363636363636364,,,,
5,3.9681777954101562,0.3125,,1.1767773855300176,0.6666666666666666,,,,
6,3.0633795261383057,0.6111111044883728,,2.0927066802978516,0.5384615384615384,,,,
7,2.421380043029785,0.48148149251937866,,2.39237262584545,0.5185185185185185,,,,
8,1.088510274887085,0.7083333134651184,,1.9706628506000226,0.5769230769230769,,,,
9,1.5064294338226318,0.6666666865348816,,3.1428098678588867,0.6666666666666666,,,,
10,2.495401620864868,0.5769230723381042,,2.9867830912272137,0.4,,,,
11,2.449692726135254,0.529411792755127,,1.0502758026123047,0.7058823529411765,,,,
12,2.7666051387786865,0.5833333134651184,,2.657827536265055,0.5,,,,
13,1.7720966339111328,0.6486486196517944,,1.402746368856991,0.5882352941176471,,,,
14,1.0654772520065308,0.6857143044471741,,1.4605400251305622,0.6521739130434783,,,,
15,1.2413043975830078,0.6666666865348816,,1.8475153605143229,0.5333333333333333,,,,
16,1.4916454553604126,0.6491228342056274,,2.321528384560033,0.6842105263157895,,,,
17,1.9070935249328613,0.6333333253860474,,2.136691347757975,0.4666666666666667,,,,
18,3.2175474166870117,0.29411765933036804,,2.7514270782470702,0.45,,,,
19,1.9855881929397583,0.5714285969734192,,1.1390165915855994,0.7692307692307693,,,,
20,1.297952651977539,0.6415094137191772,,2.2998327957956413,0.5263157894736842,,,,
21,1.248040795326233,0.5600000023841858,,3.097065077887641,0.5555555555555556,,,,
22,1.942288875579834,0.5400000214576721,,2.9479216003417967,0.52,,,,
23,1.5058013200759888,0.5833333134651184,,1.572090784708659,0.6333333333333333,,,,
24,0.9408139586448669,0.7105262875556946,,1.4166258643655216,0.5882352941176471,,,,
25,1.3641092777252197,0.6190476417541504,,1.5454413096110027,0.6428571428571429,,,,
26,1.1954673528671265,0.7586206793785095,,0.8027644157409668,0.6590909090909091,,,,
27,1.2513443231582642,0.6451612710952759,,1.5101386760843212,0.6551724137931034,,,,
28,1.207362413406372,0.6499999761581421,,1.6069915478046124,0.5384615384615384,,,,
29,1.2431273460388184,0.6153846383094788,,1.1184704120342548,0.5384615384615384,,,,
30,1.2830251455307007,0.5416666865348816,,1.0904311537742615,0.640625,,,,
31,1.2366454601287842,0.6551724076271057,,1.2093205769856772,0.7333333333333333,,,,
32,1.2127280235290527,0.6111111044883728,,1.111027479171753,0.625,,,,
33,0.9842623472213745,0.6410256624221802,,1.4701327217949762,0.6666666666666666,,,,
34,2.202136516571045,0.5384615659713745,,1.4288411140441895,0.7142857142857143,,,,
35,1.0057716369628906,0.761904776096344,,0.7754716873168945,0.6666666666666666,,,,
36,1.4653258323669434,0.5,,0.9502538953508649,0.6666666666666666,,,,
37,1.3663737773895264,0.6499999761581421,,1.4239397746760671,0.5853658536585366,,,,
38,0.9425498843193054,0.7333333492279053,,1.2791260083516438,0.7777777777777778,,,,
39,1.7093098163604736,0.5384615659713745,,1.2428141054899797,0.5217391304347826,,,,
40,1.444659948348999,0.7142857313156128,,1.1020922167547818,0.6551724137931034,,,,
41,0.8549583554267883,0.800000011920929,,1.2777776718139648,0.6666666666666666,,,,
