step,train_loss,train_mean_token_accuracy,train_error_rate
1,3.759749412536621,0.47999998927116394,
2,2.563899040222168,0.46666666865348816,
3,1.8284751176834106,0.5111111402511597,
4,2.475989580154419,0.6071428656578064,
5,3.007652521133423,0.4193548262119293,
6,2.5435798168182373,0.6666666865348816,
7,1.2730247974395752,0.6976743936538696,
8,2.4166460037231445,0.6111111044883728,
9,2.361858606338501,0.6153846383094788,
10,2.216750383377075,0.6818181872367859,
11,2.0066049098968506,0.6333333253860474,
12,0.7717564105987549,0.7045454382896423,
13,1.8433917760849,0.625,
14,3.1433935165405273,0.5555555820465088,
15,2.6788902282714844,0.4615384638309479,
16,1.1433149576187134,0.7169811129570007,
17,2.038844108581543,0.4878048896789551,
18,2.2146642208099365,0.6521739363670349,
19,1.9733240604400635,0.523809552192688,
20,1.5390160083770752,0.5333333611488342,
21,1.482694149017334,0.5333333611488342,
22,1.1626722812652588,0.7037037014961243,
23,2.633796453475952,0.4615384638309479,
24,1.4469029903411865,0.5454545617103577,
25,1.5305299758911133,0.5833333134651184,
26,1.375650405883789,0.5909090638160706,
27,0.911779522895813,0.6333333253860474,
28,1.4536612033843994,0.5882353186607361,
29,0.9530491232872009,0.625,
30,1.6475191116333008,0.7142857313156128,
31,1.1427901983261108,0.7647058963775635,
32,1.3070995807647705,0.6000000238418579,
33,1.3518232107162476,0.6969696879386902,
34,1.5408697128295898,0.6756756901741028,
35,1.1620043516159058,0.5666666626930237,
36,1.3606206178665161,0.6774193644523621,
37,1.1326322555541992,0.7555555701255798,
38,1.1724432706832886,0.7241379022598267,
39,1.435326337814331,0.7142857313156128,
40,1.0063241720199585,0.7142857313156128,
41,1.0252305269241333,0.7111111283302307,
42,1.2682957649230957,0.6111111044883728,
43,1.3685879707336426,0.6000000238418579,
44,1.4213647842407227,0.6428571343421936,
45,0.9453340172767639,0.7058823704719543,
46,1.1326810121536255,0.7037037014961243,
47,1.359742522239685,0.6491228342056274,
48,1.2325152158737183,0.5600000023841858,
49,1.1177394390106201,0.6875,
50,1.1103382110595703,0.6666666865348816,
51,0.9673470854759216,0.6399999856948853,
52,0.9059064984321594,0.761904776096344,
53,1.5140568017959595,0.6071428656578064,
54,0.9507436752319336,0.6585366129875183,
55,1.199908971786499,0.6538461446762085,
56,0.8616560101509094,0.6595744490623474,
57,0.9437606334686279,0.692307710647583,
58,0.8397175669670105,0.7083333134651184,
59,1.3973852396011353,0.5510203838348389,
60,0.9673865437507629,0.75,
61,1.4790534973144531,0.6200000047683716,
62,0.9319400787353516,0.5625,
63,0.8947514295578003,0.7142857313156128,
64,1.0638134479522705,0.6470588445663452,
65,1.106309413909912,0.7222222089767456,
66,1.0207287073135376,0.5806451439857483,
67,1.1916552782058716,0.6346153616905212,
68,0.8779128193855286,0.7142857313156128,
69,1.0520561933517456,0.800000011920929,
70,1.433931827545166,0.5555555820465088,
71,1.4630430936813354,0.5263158082962036,
72,0.9840430617332458,0.6818181872367859,
73,1.2487913370132446,0.7142857313156128,
74,1.0001953840255737,0.761904776096344,
75,1.1576454639434814,0.5666666626930237,
76,1.3174165487289429,0.6190476417541504,
77,1.000853180885315,0.7777777910232544,
78,0.4943292737007141,0.800000011920929,
79,0.797607421875,0.8235294222831726,
80,1.3035647869110107,0.47058823704719543,
81,0.5888001918792725,0.8333333134651184,
82,1.195770025253296,0.550000011920929,
83,1.1302926540374756,0.7200000286102295,
84,1.1633358001708984,0.671875,
85,0.8990582823753357,0.695652186870575,
86,0.8905216455459595,0.7692307829856873,
87,0.629655659198761,0.8333333134651184,
88,2.1055376529693604,0.5384615659713745,
89,0.9668261408805847,0.6666666865348816,
90,1.4119964838027954,0.75,
91,0.6943855881690979,0.875,
92,1.335327386856079,0.5789473652839661,
93,0.7392247319221497,0.7931034564971924,
94,1.664519190788269,0.5581395626068115,
95,0.6904116272926331,0.7727272510528564,
96,1.5433039665222168,0.6000000238418579,
97,1.202279806137085,0.6666666865348816,
98,1.2813626527786255,0.6481481194496155,
99,1.415470838546753,0.6666666865348816,
100,1.4237513542175293,0.5555555820465088,
101,0.9765568971633911,0.5882353186607361,
102,0.8562081456184387,0.6499999761581421,
103,1.472853422164917,0.5625,
104,0.992520272731781,0.6538461446762085,
105,0.711482048034668,0.7368420958518982,
106,1.371127724647522,0.6666666865348816,
107,1.2031285762786865,0.6399999856948853,
108,1.0656180381774902,0.6041666865348816,
109,1.1208195686340332,0.5517241358757019,
110,1.2915780544281006,0.6538461446762085,
111,1.1287546157836914,0.6153846383094788,
112,0.8343390822410583,0.7586206793785095,
113,1.240504503250122,0.7068965435028076,
114,1.4153823852539062,0.6399999856948853,
115,1.084747552871704,0.699999988079071,
116,1.0761572122573853,0.6170212626457214,
117,1.941658616065979,0.4444444477558136,
118,1.4443833827972412,0.550000011920929,
119,1.2303123474121094,0.6000000238418579,
120,0.8099458813667297,0.800000011920929,
121,0.811599850654602,0.800000011920929,
122,0.9319025278091431,0.6363636255264282,
123,1.1288894414901733,0.6379310488700867,
124,1.2205097675323486,0.6538461446762085,
125,2.1480906009674072,0.5199999809265137,
126,1.2083364725112915,0.5833333134651184,
127,2.188842535018921,0.5416666865348816,
128,0.9473749995231628,0.6666666865348816,
129,1.1056872606277466,0.774193525314331,
130,0.9409148097038269,0.699999988079071,
131,0.8582575917243958,0.7948718070983887,
132,0.8646385669708252,0.7352941036224365,
133,0.793385922908783,0.800000011920929,
134,1.1912981271743774,0.6122449040412903,
135,1.2510323524475098,0.5555555820465088,
136,0.7503487467765808,0.7692307829856873,
